trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
27,True,"{'a': 0, 'e': 0}",20,0,-55.54288980314644,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
28,True,"{'a': 0, 'e': 0}",25,0,-162.66096245998784,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
29,True,"{'a': 0, 'e': 0}",20,0,-78.5294308089644,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
30,True,"{'a': 0, 'e': 0}",25,0,-70.28533540906452,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
31,True,"{'a': 0, 'e': 0}",25,0,-90.27843860137789,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
32,True,"{'a': 0, 'e': 0}",25,0,-234.96991880053307,"{0: 14, 1: 2, 2: 2, 3: 3, 4: 4}",0
33,True,"{'a': 0, 'e': 0}",25,0,-145.32859064736812,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
34,True,"{'a': 0, 'e': 0}",20,0,-82.59059547071683,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
35,True,"{'a': 0, 'e': 0}",35,0,-161.7059546194098,"{0: 17, 1: 5, 2: 12, 3: 0, 4: 1}",0
36,True,"{'a': 0, 'e': 0}",25,0,-180.66361518347344,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
37,True,"{'a': 0, 'e': 0}",30,0,-129.71161307832725,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
38,True,"{'a': 0, 'e': 0}",20,13,3.243454102688712,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
39,True,"{'a': 0, 'e': 0}",35,0,-234.76510580897113,"{0: 19, 1: 5, 2: 7, 3: 0, 4: 4}",0
40,True,"{'a': 0, 'e': 0}",20,0,-129.55231980945106,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
41,True,"{'a': 0, 'e': 0}",20,0,-79.04298721392307,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
42,True,"{'a': 0, 'e': 0}",20,0,-113.36382380785632,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
43,True,"{'a': 0, 'e': 0}",25,0,-162.2321746382007,"{0: 15, 1: 2, 2: 3, 3: 3, 4: 2}",0
44,True,"{'a': 0, 'e': 0}",20,0,-52.6862077071586,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
45,True,"{'a': 0, 'e': 0}",25,0,-168.41686722231145,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
46,True,"{'a': 0, 'e': 0}",25,0,-149.50350809082278,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
47,True,"{'a': 0, 'e': 0}",20,9,-84.84431459885103,"{0: 5, 1: 0, 2: 5, 3: 0, 4: 1}",1
48,True,"{'a': 0, 'e': 0}",20,7,-15.051670616095205,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
49,True,"{'a': 0, 'e': 0}",20,0,-121.19207615476925,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
50,True,"{'a': 0, 'e': 0}",20,0,-263.94595552678993,"{0: 8, 1: 1, 2: 5, 3: 1, 4: 5}",0
